STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/28/1941,1.49,,,,67,58
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/29/1941,0,,,,82,54
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/30/1941,0,,,,84,58
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/31/1941,0,,,,88,60
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/1/1941,0,,,,84,64
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/2/1941,0,,,,84,59
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/3/1941,0,,,,82,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/4/1941,0,,,,82,56
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/5/1941,0,,,,83,56
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/6/1941,0,,,,80,54
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/7/1941,0,,,,86,51
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/8/1941,0,,,,93,54
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/9/1941,0.27,,,,87,62
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/10/1941,0,,,,72,49
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/11/1941,0.11,,,,81,46
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/12/1941,0.07,,,,70,52
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/13/1941,0,,,,62,49
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/14/1941,0.02,,,,76,47
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/15/1941,0.29,,,,69,56
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/16/1941,0.35,,,,75,58
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/17/1941,0,,,,66,44
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/18/1941,0,,,,73,40
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/19/1941,0.03,,,,76,53
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/20/1941,0,,,,72,46
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/21/1941,0,,,,80,43
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/22/1941,0.16,,,,85,62
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/23/1941,0,,,,79,51
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/24/1941,0,,,,74,45
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/25/1941,0.49,,,,76,59
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/26/1941,0,,,,84,60
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/27/1941,0,,,,75,47
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",8/28/1941,0,,,,66,43
