"game_date","season","game_type","season_game","team","opponent","location","personal_foul","points","game_score","result","score_diff"
2019-03-24,"2018/19","Reg Season",53,"LAL","SAC","Home",1,35,26.9,"Win",5
2019-03-26,"2018/19","Reg Season",54,"LAL","WAS","Home",1,25,22.1,"Win",18
2019-03-29,"2018/19","Reg Season",55,"LAL","CHO","Home",1,35,18.5,"Win",14
2007-04-22,"2006","1st Round",1,"CLE","WAS","Home",1,23,24.2,"Win",15
2007-04-25,"2006","1st Round",2,"CLE","WAS","Home",2,27,22.5,"Win",7
2007-04-28,"2006","1st Round",3,"CLE","WAS","Away",3,36,24.1,"Win",6
2007-04-30,"2006","1st Round",4,"CLE","WAS","Away",3,33,27.5,"Win",7
2007-05-06,"2006","Conf Semis",5,"CLE","NJN","Home",2,23,15.6,"Win",4
2007-05-08,"2006","Conf Semis",6,"CLE","NJN","Home",2,42,31.3,"Win",10
2007-05-12,"2006","Conf Semis",7,"CLE","NJN","Away",2,20,16.2,"Loss",-11
2007-05-14,"2006","Conf Semis",8,"CLE","NJN","Away",1,34,24.6,"Win",2
2007-05-16,"2006","Conf Semis",9,"CLE","NJN","Home",4,20,15.3,"Loss",-11
2007-05-18,"2006","Conf Semis",10,"CLE","NJN","Away",4,25,16.8,"Win",16
2007-05-21,"2006","Conf Finals",11,"CLE","DET","Away",1,10,13.5,"Loss",-3
