album,track_name,line,lyric,element,element_artist
Taylor Swift,Tied Together With A Smile,18,"Hold on, baby, you're losing it",Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,19,"The water's high, you're jumping into it",Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,20,And letting go and no one knows,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,21,"That you cry, but you don't tell anyone",Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,22,That you might not be the golden one,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,23,And you're tied together with a smile,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,24,But you're coming undone,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,25,"Oh, ooh-oh",Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,26,"Hold on, baby, you're losing it",Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,27,"The water's high, you're jumping into it",Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,28,And letting go and no one knows,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,29,That you cry but you don't tell anyone,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,30,That you might not be the golden one,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,31,And you're tied together with a smile,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,32,But you're coming undone,Chorus,Taylor Swift
Taylor Swift,Tied Together With A Smile,33,You're tied together with a smile,Outro,Taylor Swift
Taylor Swift,Tied Together With A Smile,34,But you're coming undone oh,Outro,Taylor Swift
Taylor Swift,Tied Together With A Smile,35,"Goodbye, baby",Outro,Taylor Swift
Taylor Swift,Tied Together With A Smile,36,"With a smile, baby, baby",Outro,Taylor Swift
Taylor Swift,Stay Beautiful,1,Corey's eyes are like a jungle,Verse 1,Taylor Swift
Taylor Swift,Stay Beautiful,2,"He smiles, it's like the radio",Verse 1,Taylor Swift
Taylor Swift,Stay Beautiful,3,He whispers songs into my window in words that nobody knows,Verse 1,Taylor Swift
Taylor Swift,Stay Beautiful,4,These pretty girls on every corner,Verse 1,Taylor Swift
Taylor Swift,Stay Beautiful,5,"They watch him as he's walking home, saying, ""Does he know?""",Verse 1,Taylor Swift
Taylor Swift,Stay Beautiful,6,Will you ever know?,Verse 1,Taylor Swift
Taylor Swift,Stay Beautiful,7,You're beautiful,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,8,"Every little piece, love",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,9,And don't you know,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,10,You're really gonna be someone,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,11,Ask anyone,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,12,And when you find everything you looked for,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,13,I hope your life will lead you back to my door,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,14,"Oh, but if it don't",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,15,Stay beautiful,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,16,Corey finds another way to be the highlight of my day,Verse 2,Taylor Swift
Taylor Swift,Stay Beautiful,17,I'm taking pictures in my mind so I can save them for a rainy day,Verse 2,Taylor Swift
Taylor Swift,Stay Beautiful,18,It's hard to make a conversation when he's taking my breath away,Verse 2,Taylor Swift
Taylor Swift,Stay Beautiful,19,I should say,Verse 2,Taylor Swift
Taylor Swift,Stay Beautiful,20,"Hey, by the way",Verse 2,Taylor Swift
Taylor Swift,Stay Beautiful,21,You're beautiful,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,22,"Every little piece, love",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,23,And don't you know,Chorus,Taylor Swift
