"name","gender","country","sport","birth_date","height","weight","age"
"DUBOVITSKAYA Nadezhda","Female","Kazakhstan","Athletics",1998-03-12,177,0,26
"EL BAKKALI Soufiane","Male","Morocco","Athletics",1996-01-07,196,0,28
"TINDOUFT Mohamed","Male","Morocco","Athletics",1993-03-12,177,0,31
"PORTER Chanice","Female","Jamaica","Athletics",1994-05-25,170,0,30
"FARKOUSSI Kaoutar","Female","Morocco","Athletics",1996-03-19,161,0,28
"OUTALHA Mohcin","Male","Morocco","Athletics",1998-12-15,174,0,25
"BLAKE Ackeem","Male","Jamaica","Athletics",2002-01-21,180,0,22
"EL GOUMRI Othmane","Male","Morocco","Athletics",1992-05-28,174,0,32
"GARDADI Fatima Ezzahra","Female","Morocco","Athletics",1992-03-20,161,0,32
"TALBI Zouhair","Male","Morocco","Athletics",1995-04-08,174,0,29
"EL GUESSE Abdelati","Male","Morocco","Athletics",1993-02-27,189,0,31
"GREENE Cejhae","Male","Antigua and Barbuda","Athletics",1995-10-06,176,0,28
"LLOYD Joella","Female","Antigua and Barbuda","Athletics",2002-04-12,172,0,22
"YOUSOFI Kimia","Female","Afghanistan","Athletics",1996-05-20,163,0,28
"PRIYANKA","Female","India","Athletics",1996-03-10,158,0,28
"JACOB Amoj","Male","India","Athletics",1998-05-02,178,0,26
"ALMANZA Rose Mary","Female","Cuba","Athletics",1992-07-13,165,0,32
"COOPER GASPAR Daily","Female","Cuba","Athletics",2002-03-11,168,0,22
"DIAGO MESA Sahily","Female","Cuba","Athletics",1995-08-26,169,0,28
"GARCIA ABREU Yunisleidy","Female","Cuba","Athletics",1999-08-11,164,0,24
"GOMEZ Roxana","Female","Cuba","Athletics",1999-01-07,169,0,25
"MATHEUS Melany del Pilar","Female","Cuba","Athletics",2001-01-19,178,0,23
"MORALES Silinda","Female","Cuba","Athletics",2000-08-30,170,0,23
"PEREZ HERNANDEZ Leyanis","Female","Cuba","Athletics",2002-01-10,188,0,22
"POVEA Liadagmis","Female","Cuba","Athletics",1996-02-06,160,0,28
"ESSAYI Anass","Male","Morocco","Athletics",2001-05-18,174,0,23
"RAZIKI Assia","Female","Morocco","Athletics",1996-10-04,175,0,27
"TAHIRI Rahma","Female","Morocco","Athletics",1998-08-09,162,0,25
"ENNADI Noura","Female","Morocco","Athletics",1999-04-05,174,0,25
