Season Type,game,Season,Game Date,Series,team,Home,Opp,game_in_series,,GS,MP,made2,attempt3,per2,made3,attempt3,per3,made1,attempt1,per1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,game score,Game Result,Point Diff
Regular,42,2013/14,1/23/2014,NA,MIA,Home,LAL,,W (+7),1,37:18:00,9,15,0.6,2,4,0.5,7,13,0.538,2,11,13,6,1,0,5,1,31,22.2,Win,7.00
Regular,43,2013/14,1/26/2014,NA,MIA,Home,SAS,,W (+12),1,27:43:00,8,15,0.533,1,3,0.333,1,1,1,0,7,7,6,1,0,4,4,20,12.4,Win,12.00
Regular,44,2013/14,1/29/2014,NA,MIA,Home,OKC,,L (-17),1,42:10:00,12,20,0.6,1,5,0.2,9,9,1,1,2,3,3,0,0,3,1,36,24.8,Loss,-17.00
Regular,45,2013/14,2/1/2014,NA,MIA,Away,NYK,,W (+15),1,39:06:00,13,22,0.591,1,3,0.333,3,6,0.5,1,7,8,7,6,0,2,3,32,29.1,Win,15.00
Regular,46,2013/14,2/3/2014,NA,MIA,Home,DET,,W (+6),1,38:19:00,9,19,0.474,0,3,0,6,8,0.75,1,7,8,11,2,2,1,1,24,26,Win,6.00
Regular,47,2013/14,2/5/2014,NA,MIA,Away,LAC,,W (+4),1,40:47:00,11,20,0.55,3,7,0.429,6,8,0.75,1,7,8,12,3,1,7,2,37,27.7,Win,4.00
Regular,48,2013/14,2/8/2014,NA,MIA,Away,UTA,,L (-5),1,39:21:00,4,13,0.308,1,6,0.167,4,6,0.667,0,7,7,5,0,0,5,2,15,4.5,Loss,-5.00
Regular,49,2013/14,2/11/2014,NA,MIA,Away,PHO,,W (+6),1,40:59:00,12,22,0.545,2,5,0.4,11,14,0.786,1,8,9,3,5,0,4,2,41,30.6,Win,6.00
Regular,50,2013/14,2/12/2014,NA,MIA,Away,GSW,,W (+1),1,42:16:00,14,26,0.538,4,8,0.5,4,7,0.571,1,12,13,9,2,0,2,1,44,32.4,Win,1.00
Regular,51,2013/14,2/18/2014,NA,MIA,Away,DAL,,W (+11),1,38:28:00,16,23,0.696,4,8,0.5,6,8,0.75,2,7,9,6,2,0,3,2,50,37.4,Win,11.00
Regular,52,2013/14,2/20/2014,NA,MIA,Away,OKC,,W (+22),1,33:24:00,15,22,0.682,1,5,0.2,2,5,0.4,1,6,7,3,4,0,8,1,35,22.6,Win,22.00
Regular,53,2013/14,2/27/2014,NA,MIA,Home,NYK,,W (+26),1,36:38:00,13,19,0.684,1,2,0.5,4,6,0.667,0,4,4,4,0,0,1,0,33,25.1,Win,26.00
Regular,54,2013/14,3/1/2014,NA,MIA,Home,ORL,,W (+14),1,31:13:00,8,12,0.667,0,2,0,4,5,0.8,1,8,9,7,4,0,2,1,20,24,Win,14.00
Regular,55,2013/14,3/3/2014,NA,MIA,Home,CHA,,W (+17),1,41:12:00,22,33,0.667,8,10,0.8,9,12,0.75,3,4,7,4,0,0,2,2,77,48.8,Win,17.00
Regular,56,2013/14,3/4/2014,NA,MIA,Away,HOU,,L (-3),1,36:38:00,9,18,0.5,0,3,0,4,6,0.667,1,0,1,6,3,0,1,1,22,18.7,Loss,-3.00
Regular,57,2013/14,3/6/2014,NA,MIA,Away,SAS,,L (-24),1,38:04:00,6,18,0.333,0,3,0,7,9,0.778,3,5,8,7,2,0,5,5,19,11.5,Loss,-24.00
Regular,58,2013/14,3/9/2014,NA,MIA,Away,CHI,,L (-7),1,45:19:00,8,23,0.348,1,3,0.333,0,0,,1,8,9,8,3,1,4,1,19,12.1,Loss,-7.00
